# PeekMicrobiome — abundance matrix, taxonomic (relative) abundance in %
# reference database: Human gut [human-gut] — MGnify human-gut v2.0.2
# database file: human-gut.syldb — https://zenodo.org/api/records/21842023/files/human-gut.syldb/content
# database DOI: 10.5281/zenodo.21842023
# database: genomes=4744, k=31, c=200, catalogue_species=4744
# matrix: 624 species x 84 samples
# exported: 2026-08-09T09:26:40.732Z
# every abundance below is relative to the reference database named above and to nothing else: sylph reports the closest genomes that database contains, and reports nothing at all about species it does not contain. A sample from another environment still produces a full, plausible table.
# reference per sample: ERR14098571=Human gut; ERR14098572=Human gut; ERR14098573=Human gut; ERR14098574=Human gut; ERR14098575=Human gut; ERR14098577=Human gut; ERR14098576=Human gut; ERR14098578=Human gut; ERR14098579=Human gut; ERR14098580=Human gut; ERR14098581=Human gut; ERR14098582=Human gut; ERR14098583=Human gut; ERR14098584=Human gut; ERR14098585=Human gut; ERR14098586=Human gut; ERR14098587=Human gut; ERR14098588=Human gut; ERR14098589=Human gut; ERR14098590=Human gut; ERR14098591=Human gut; ERR14098592=Human gut; ERR14098593=Human gut; ERR14098594=Human gut; ERR14098596=Human gut; ERR14098595=Human gut; ERR14098597=Human gut; ERR14098598=Human gut; ERR14098600=Human gut; ERR14098599=Human gut; ERR14098601=Human gut; ERR14098602=Human gut; ERR14098603=Human gut; ERR14098604=Human gut; ERR14098606=Human gut; ERR14098605=Human gut; ERR14098607=Human gut; ERR14098608=Human gut; ERR14098610=Human gut; ERR14098609=Human gut; ERR14098611=Human gut; ERR14098612=Human gut; ERR14098614=Human gut; ERR14098613=Human gut; ERR14098616=Human gut; ERR14098615=Human gut; ERR14098618=Human gut; ERR14098617=Human gut; ERR14098620=Human gut; ERR14098619=Human gut; ERR14098622=Human gut; ERR14098621=Human gut; ERR14098624=Human gut; ERR14098623=Human gut; ERR14098626=Human gut; ERR14098625=Human gut; ERR14098628=Human gut; ERR14098627=Human gut; ERR14098629=Human gut; ERR14098630=Human gut; ERR14098631=Human gut; ERR14098632=Human gut; ERR14098633=Human gut; ERR14098634=Human gut; ERR14098637=Human gut; ERR14098636=Human gut; ERR14098638=Human gut; ERR14098639=Human gut; ERR14098640=Human gut; ERR14098641=Human gut; ERR14098642=Human gut; ERR14098643=Human gut; ERR14098644=Human gut; ERR14098645=Human gut; ERR14098646=Human gut; ERR14098647=Human gut; ERR14098649=Human gut; ERR14098648=Human gut; ERR14098651=Human gut; ERR14098650=Human gut; ERR14098652=Human gut; ERR14098653=Human gut; ERR14098654=Human gut; ERR14098655=Human gut
species	genome	ERR14098571	ERR14098572	ERR14098573	ERR14098574	ERR14098575	ERR14098577	ERR14098576	ERR14098578	ERR14098579	ERR14098580	ERR14098581	ERR14098582	ERR14098583	ERR14098584	ERR14098585	ERR14098586	ERR14098587	ERR14098588	ERR14098589	ERR14098590	ERR14098591	ERR14098592	ERR14098593	ERR14098594	ERR14098596	ERR14098595	ERR14098597	ERR14098598	ERR14098600	ERR14098599	ERR14098601	ERR14098602	ERR14098603	ERR14098604	ERR14098606	ERR14098605	ERR14098607	ERR14098608	ERR14098610	ERR14098609	ERR14098611	ERR14098612	ERR14098614	ERR14098613	ERR14098616	ERR14098615	ERR14098618	ERR14098617	ERR14098620	ERR14098619	ERR14098622	ERR14098621	ERR14098624	ERR14098623	ERR14098626	ERR14098625	ERR14098628	ERR14098627	ERR14098629	ERR14098630	ERR14098631	ERR14098632	ERR14098633	ERR14098634	ERR14098637	ERR14098636	ERR14098638	ERR14098639	ERR14098640	ERR14098641	ERR14098642	ERR14098643	ERR14098644	ERR14098645	ERR14098646	ERR14098647	ERR14098649	ERR14098648	ERR14098651	ERR14098650	ERR14098652	ERR14098653	ERR14098654	ERR14098655
Prevotella sp900557255	MGYG000002293.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0501	4.9599	4.8083	4.9176	3.6171	4.1062	5.0158	4.9121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	39.2463	39.1220	39.6047	37.7262	35.9499	37.5291	39.6610	38.4733	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.7973	4.9296	4.7893	0.0000	0.0000	0.1088	0.0000	0.0000	0.0000	34.7303	34.9060	33.9402
Bacteroides stercoris	MGYG000003681.fna	19.8142	19.9546	20.0311	19.5927	19.3141	18.6090	19.8107	19.5004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.7838	1.8078	1.8888	1.7339	2.0789	2.0304	1.8622	1.7256	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0404	1.0323	0.9477	1.0102	1.2737	1.4489	1.0202	1.0304	18.5920	18.5461	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8764	1.8396	1.9603	0.0000	0.0000	0.0000	1.0576	1.0629	1.0751
Prevotella hominis	MGYG000000272.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.0753	11.9353	11.9003	11.9717	12.1473	12.6949	11.9461	11.9528	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.4360	11.2704	11.0217	0.2617	0.2751	0.2772	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Phocaeicola plebeius_A	MGYG000003693.fna	11.3312	11.4513	11.4976	11.5266	11.9551	11.9047	11.4358	11.4651	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.7036	5.7683	5.6695	6.0579	5.0479	5.0345	5.7907	5.9030	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.5374	11.5977	0.0000	0.0000	0.0000	5.1650	5.1789	4.9991	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1850	0.0000	0.0000
CAG-465 sp000433755	MGYG000004000.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.3135	9.0793	10.0123	8.8202	7.7103	9.0198	9.2479	8.5867	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.3718	7.7491	8.6945	0.0000	0.0000	0.0000	1.1678	1.0317	1.1255
Ruminococcus_E bromii_B	MGYG000000258.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.5958	1.4960	1.5003	1.7465	2.0069	2.1029	1.4517	1.5161	3.4539	3.3939	3.3584	3.4946	2.5707	2.8380	3.3951	3.4826	0.0000	0.1799	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0773	1.0590	1.1238	1.0595	1.2980	1.3820	1.0542	0.9827	9.5229	9.2355	9.6190	9.2994	8.9646	9.2098	9.4295	9.2945	5.4875	5.5084	5.4308	5.4104	4.3450	4.0760	5.4069	5.3452	0.0000	0.0000	0.0000	0.0000	0.0000	1.5766	1.5815	1.4973	0.1691	0.1091	0.1344	1.1621	1.1427	1.2585	8.9300	9.0344	8.7992	5.1722	5.2463	5.0205
Prevotella sp003447235	MGYG000001866.fna	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.8812	7.9974	7.5654	7.9621	8.6422	7.7108	7.7889	7.9594	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.5308	7.6024	7.7099	0.0000	0.0000	0.0000
Bacteroides uniformis	MGYG000001346.fna	8.2070	8.2661	8.4482	8.3855	6.2036	6.5593	8.4059	8.2799	1.7291	1.7137	1.7328	1.7194	2.1353	2.2513	1.7811	1.7864	4.7779	4.8138	4.7511	4.9764	4.2215	4.4470	4.7868	4.9275	1.2464	1.2289	1.2710	1.2577	1.7727	1.4418	1.2590	1.2712	0.3995	0.3991	0.4014	0.3761	0.6165	0.6022	0.4154	0.3787	1.6773	1.6656	1.8169	1.6610	2.1205	2.0045	1.7239	1.6446	2.2191	2.0534	2.2961	2.0876	2.8919	2.5562	2.1579	2.1073	1.3153	1.2155	1.2686	1.3469	1.6358	1.8058	1.2456	1.2914	8.1910	8.0788	2.0299	1.9566	1.9806	4.3837	4.4008	4.3152	0.3123	0.2975	0.3093	1.7987	1.6836	1.8101	2.7300	2.7913	2.2497	1.3424	1.2769	1.2897
Lachnospira eligens_A	MGYG000000060.fna	0.4037	0.4933	0.3872	0.3628	0.6798	0.0000	0.4402	0.3856	6.9341	7.3753	7.1077	7.6362	8.1654	5.2295	7.1226	7.4196	0.8018	0.8082	0.8311	0.9601	1.3724	1.8188	0.8302	0.8491	1.9398	1.8125	1.8568	2.0542	2.6366	2.5142	1.9386	2.3562	0.5049	0.4539	0.5366	0.4807	0.6764	0.7047	0.5039	0.4673	1.2214	1.1389	1.3108	1.0853	1.5248	1.5502	1.2169	1.1014	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0939	1.0243	1.0080	1.0943	1.3340	1.3487	0.9657	1.0220	0.2778	0.2397	6.4159	6.7005	6.0636	1.1832	1.2242	1.1751	0.4045	0.4264	0.3734	0.9620	0.9903	1.0252	0.0000	0.0000	0.0000	0.9995	0.9716	0.9897
Phocaeicola dorei	MGYG000002478.fna	4.7646	4.8209	4.7892	4.9732	4.0862	4.2975	4.7815	4.7990	3.7344	3.8176	3.6544	3.9480	3.0097	2.9467	3.8035	3.9233	2.2118	3.3751	3.3333	2.4231	3.0647	3.1179	2.2059	3.5098	3.1256	3.0421	3.0009	3.1986	2.6818	2.5411	3.0173	3.1100	0.3506	0.3426	0.3775	0.3317	0.4985	0.7143	0.3773	0.2977	3.4978	3.6298	3.1019	3.5279	2.9274	2.8862	3.6223	3.5406	4.9201	4.7323	5.1309	4.7474	3.8777	4.0738	4.8774	4.7655	7.4965	7.4004	7.3030	7.6977	7.7713	4.7969	7.4454	7.3836	4.7642	4.8246	3.6573	3.7424	3.5670	1.1996	1.1867	1.2610	0.3229	0.2887	0.2811	3.3648	3.2545	3.4162	4.6282	4.6911	4.6073	5.3815	5.3488	5.3207
